nanoDMA Text Export Version 1.00

 Test Time (s)	 Indent Disp. (nm)	 Indent Act. Load (µN)	 Indent Load (µN)	 Indent Disp. Volt. (V)	 Indent Act. Load Volt. (V)	 Indent Act. Output Volt. (V)	 Dynamic Freq. (Hz)	 Disp. Amp. (nm)	 Phase Shift (deg)	 Load Amp. (µN)	 Dynamic Comp. (nm/µN)	 Disp. Amp. Volt. (V)	 Load Amp. Volt. (V)	 Storage Mod. (GPa)	 Loss Mod. (GPa)	 Hardness (GPa)	 Complex Mod. (GPa)	 Tan-Delta	 Storage Stiff. (µN/nm)	 Loss Stiff. (µN/nm)	 Complex Stiff. (µN/nm)	 Damping (kg/s)	 Contact Area (nm^2)	 Contact Depth (nm)	
5.298304	0.545782	126.655389	9.227685	0.000834	0.610936	0.579294	205.0	0.649334	-1.768637	4.967296	0.130722	7.970359e-005	0.008936	0.0	0.0	0.0	0.0	0.0118	8.211799	0.096899	8.21237	7.522922e-005	0.0	-0.10134	
5.308301	0.598273	126.669649	9.222559	0.000825	0.610969	0.579294	205.0	0.64904	-1.72384	4.967303	0.130662	7.966748e-005	0.008936	0.0	0.0	0.0	0.0	0.01108	8.215534	0.091025	8.216038	7.066882e-005	0.0	-0.048086	
5.318298	0.68182	126.693366	9.215399	0.00081	0.611026	0.579294	205.0	0.649278	-1.775947	4.967314	0.13071	7.96967e-005	0.008936	865.778335	10.320343	200.694239	865.839844	0.01192	8.212473	0.097895	8.213057	7.600247e-005	70.668262	0.035869	
5.328294	0.639372	126.723563	9.261321	0.000817	0.611099	0.579294	205.0	0.649038	-1.723333	4.967309	0.130662	7.966725e-005	0.008936	0.0	0.0	0.0	0.0	0.011071	8.215569	0.090958	8.216072	7.061679e-005	0.0	-0.010523	
5.338291	0.90826	126.759424	9.197739	0.000771	0.611183	0.579294	205.0	0.649264	-1.779458	4.967346	0.130707	7.969504e-005	0.008936	319.229565	3.823615	27.250003	319.252463	0.011978	8.212672	0.098368	8.213261	7.636983e-005	519.819549	0.263937	
5.348288	0.720061	126.798842	9.306793	0.000803	0.61128	0.579294	205.0	0.650366	-1.775592	4.96732	0.130929	7.983029e-005	0.008936	643.238239	7.644947	111.849989	643.283668	0.011885	8.199427	0.097451	8.200006	7.565757e-005	127.61836	0.064777	
5.358285	0.787149	126.838853	9.322007	0.000792	0.611376	0.579294	205.0	0.650984	-1.851455	4.967329	0.131053	7.990616e-005	0.008936	453.898121	5.946778	55.858434	453.937075	0.013102	8.19172	0.107324	8.192423	8.332296e-005	255.813394	0.129861	
5.368282	0.687939	126.867327	9.387204	0.000809	0.611445	0.579294	205.0	0.650709	-1.790831	4.967315	0.130998	7.987232e-005	0.008936	1035.374028	12.552438	291.72126	1035.450115	0.012124	8.195258	0.099356	8.19586	7.713646e-005	49.206285	0.024975	
5.378278	0.734125	126.888857	9.391677	0.000801	0.611497	0.579294	205.0	0.652241	-1.899197	4.967322	0.131306	8.006043e-005	0.008936	620.299126	8.587144	105.220813	620.358561	0.013844	8.176501	0.113192	8.177284	8.787824e-005	136.465383	0.069268	
5.388275	0.762988	126.90535	9.397523	0.000796	0.611536	0.579294	205.0	0.652355	-1.858751	4.967326	0.131329	8.007443e-005	0.008936	522.718799	6.89101	74.77163	522.764219	0.013183	8.17533	0.107775	8.17604	8.367318e-005	192.116292	0.097521	
5.398272	0.74243	126.904872	9.404687	0.0008	0.611535	0.579294	205.0	0.65473	-1.853331	4.967323	0.131807	8.036596e-005	0.008936	597.48607	7.785572	98.416671	597.536793	0.013031	8.147179	0.106162	8.147871	8.242069e-005	146.032265	0.074125	
5.408269	0.713379	126.891669	9.402273	0.000805	0.611504	0.579294	205.0	0.654939	-1.794974	4.967319	0.13185	8.039153e-005	0.008936	765.381424	9.243191	161.559392	765.437235	0.012077	8.144962	0.098363	8.145556	7.636588e-005	88.943088	0.045145	
5.418266	0.790355	126.869322	9.351499	0.000791	0.611449	0.579294	205.0	0.656618	-1.881198	4.967329	0.132187	8.059769e-005	0.008936	458.481921	6.158418	58.054318	458.523279	0.013432	8.12482	0.109134	8.125553	8.4728e-005	246.645357	0.125206	
5.428262	0.6574	126.835802	9.367211	0.000814	0.61137	0.579294	205.0	0.657552	-1.722722	4.967311	0.132376	8.071229e-005	0.008936	0.0	0.0	0.0	0.0	0.010832	8.114508	0.087898	8.114984	6.824063e-005	0.0	-0.009945	
5.438259	0.692277	126.801415	9.319976	0.000808	0.611286	0.579294	205.0	0.658989	-1.828389	4.967316	0.132665	8.088875e-005	0.008936	967.495948	12.10338	259.705529	967.571652	0.01251	8.097269	0.101297	8.097903	7.864342e-005	55.013428	0.027922	
5.448256	0.611841	126.760488	9.308857	0.000822	0.611188	0.579294	205.0	0.659165	-1.714343	4.967305	0.132701	8.091036e-005	0.008936	0.0	0.0	0.0	0.0	0.010653	8.095671	0.08624	8.09613	6.695388e-005	0.0	-0.051567	
5.458253	0.852465	126.726979	9.186391	0.000781	0.611106	0.579294	205.0	0.661283	-1.749038	4.967338	0.133126	8.117033e-005	0.008936	361.732077	4.036583	36.199598	361.754598	0.011159	8.070968	0.090064	8.071471	6.99228e-005	390.99131	0.198504	
5.46825	0.741126	126.690831	9.191481	0.0008	0.611019	0.579294	205.0	0.661094	-1.696788	4.967322	0.133089	8.11471e-005	0.008936	546.855013	5.641116	82.713019	546.884108	0.010316	8.073347	0.083281	8.073776	6.465657e-005	171.179867	0.086892	
5.478246	0.846674	126.667873	9.129527	0.000782	0.610963	0.579294	205.0	0.662015	-1.779704	4.967337	0.133274	8.126017e-005	0.008936	362.417422	4.217585	36.268136	362.441962	0.011637	8.062371	0.093825	8.062917	7.284233e-005	388.684537	0.197332	
5.488243	0.82715	126.652027	9.120947	0.000785	0.610925	0.579294	205.0	0.662809	-1.766855	4.967334	0.133434	8.135759e-005	0.008936	381.242837	4.348951	40.200211	381.267641	0.011407	8.053258	0.091866	8.053782	7.132154e-005	350.452916	0.177917	
5.49824	0.670729	126.651495	9.178314	0.000812	0.610925	0.579294	205.0	0.663019	-1.822457	4.967313	0.133476	8.13834e-005	0.008936	1273.689697	15.672363	450.823327	1273.786115	0.012305	8.050569	0.09906	8.051179	7.690662e-005	31.377317	0.015925	
5.508237	0.797563	126.663164	9.143098	0.00079	0.610952	0.579294	205.0	0.662797	-1.767227	4.96733	0.133431	8.135614e-005	0.008936	420.454534	4.798934	48.970131	420.48192	0.011414	8.053387	0.091919	8.053911	7.136258e-005	288.14356	0.146277	
5.518234	0.709633	126.677678	9.190168	0.000806	0.610988	0.579294	205.0	0.663035	-1.821127	4.967318	0.133479	8.138533e-005	0.008936	693.539832	8.518514	133.783924	693.592145	0.012283	8.050402	0.09888	8.051009	7.67673e-005	105.823523	0.053714	
5.52823	0.850145	126.708222	9.168759	0.000781	0.61106	0.579294	205.0	0.662824	-1.770658	4.967337	0.133436	8.135943e-005	0.008936	362.816664	4.161017	36.533433	362.840524	0.011469	8.053076	0.092358	8.053606	7.17035e-005	386.935892	0.196444	
5.538227	0.738771	126.742683	9.244441	0.000801	0.611144	0.579294	205.0	0.663033	-1.822469	4.967322	0.133479	8.138515e-005	0.008936	576.29192	7.090972	92.726928	576.335543	0.012304	8.050422	0.099056	8.051031	7.690386e-005	153.264675	0.077797	
5.548224	0.764401	126.78421	9.276505	0.000796	0.611244	0.579294	205.0	0.662801	-1.765372	4.967326	0.133432	8.13566e-005	0.008936	506.755721	5.768636	71.809403	506.788553	0.011383	8.053348	0.091675	8.05387	7.117331e-005	198.356057	0.100688	
5.558221	0.695529	126.823644	9.341435	0.000808	0.61134	0.579294	205.0	0.663024	-1.821112	4.967316	0.133477	8.138404e-005	0.008936	1006.032532	12.356796	284.503454	1006.108416	0.012283	8.050525	0.098882	8.051132	7.676872e-005	50.293769	0.025527	
